model_name,configuration,series_key,status,reason,mae,rmse,mape,smape,r2,mase,parameters
MLP,tuned,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,266.1255174369255,813.0306868597817,5932.6192627993005,149.52387211148903,-0.040169279932088374,0.6497018489402603,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}"
AdaBoost,tuned,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,439.1028132730276,1267.9371446897228,12262.909815713005,153.78300028127043,-1.9541227170241458,1.0438227638985926,"{""learning_rate"": 0.05, ""n_estimators"": 100}"
ElasticNet,tuned,BROCADE RING PURSE  | United Kingdom | Accessories,evaluated,,381.0547809525721,797.5978301561939,12172.072962750475,142.47796650193982,-0.03956938465665527,0.9098708569374572,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
MLP,tuned,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,177.18450182525888,191.3376147946672,11172.194741886453,169.89310686183077,-62.80150351947294,11.860032171337158,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}"
AdaBoost,tuned,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,472.76125901533277,555.1933887888439,38119.03703797216,166.02044942163187,-5132.082097120532,79.66224012332748,"{""learning_rate"": 0.05, ""n_estimators"": 100}"
ElasticNet,tuned,PACK OF 72 RETRO SPOT CAKE CASES | United Kingdom | Other,evaluated,,94.42870939836835,103.42004064466694,6255.486325358448,159.51029857867252,-76.9911354055635,12.506172078138539,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
MLP,tuned,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,109.43178410820951,155.25997283420628,1988.6154497417847,76.41938598116485,-0.05063411512038748,0.7414966497064909,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}"
AdaBoost,tuned,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,86.93992755133718,141.50722912512444,99.27373772392258,64.08336557957709,0.15464169658047808,0.58782242846527,"{""learning_rate"": 0.05, ""n_estimators"": 100}"
ElasticNet,tuned,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,evaluated,,120.95580192850541,168.38317449490796,973.9940079953071,97.05240251254355,-0.186675021981036,0.8033927826130863,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
MLP,tuned,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,232.3759922583945,658.0453977322692,3756.988067140906,116.51585297039917,-0.040702976638061994,0.6669441847940717,"{""alpha"": 0.0005, ""hidden_layer_sizes"": [128, 64], ""learning_rate_init"": 0.005}"
AdaBoost,tuned,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,276.31865484812886,657.3973636446891,5429.4341122554915,119.84438185432079,-0.04156738964486991,0.8033244959502129,"{""learning_rate"": 0.05, ""n_estimators"": 100}"
ElasticNet,tuned,WORLD WAR 2 GLIDERS ASSTD DESIGNS | United Kingdom | Other,evaluated,,281.52354770818357,639.3217048935197,6497.092917881037,121.19139375226268,0.0210960648461046,0.805771166397367,"{""alpha"": 0.1, ""l1_ratio"": 0.2}"
LSTM,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,unavailable,tensorflow is not installed,,,,,,,{}
Bidirectional LSTM,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,unavailable,tensorflow is not installed,,,,,,,{}
GRU,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,unavailable,tensorflow is not installed,,,,,,,{}
CNN-LSTM,default,WHITE HANGING HEART T-LIGHT HOLDER | United Kingdom | Lighting,unavailable,tensorflow is not installed,,,,,,,{}
